epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.506,1.89335,2.88658,1.3304,0.32601,0.59532,0.38944,0.16872,1.70326,10.0975,1.34127,0.000475628,0.000475628,0.000475628
2,1023.96,1.78361,1.71367,1.33911,0.68591,0.60864,0.66423,0.31038,1.55104,2.76539,1.24555,0.000920546,0.000920546,0.000920546
3,1536.57,1.75967,1.52534,1.34533,0.55484,0.59602,0.58931,0.28129,1.57848,3.70597,1.26856,0.00133403,0.00133403,0.00133403
4,2062.05,1.72091,1.44881,1.32572,0.68398,0.75749,0.77749,0.37661,1.52024,2.4631,1.22915,0.00128753,0.00128753,0.00128753
5,2611.55,1.68436,1.35875,1.30541,0.77427,0.74478,0.82315,0.44692,1.431,2.75498,1.19499,0.00124037,0.00124037,0.00124037
6,3159.3,1.64862,1.31301,1.28716,0.80255,0.76295,0.83749,0.4206,1.44038,2.36039,1.18377,0.00119322,0.00119322,0.00119322
7,3697.54,1.61089,1.2447,1.26457,0.81545,0.80085,0.85309,0.46343,1.41134,2.11239,1.17838,0.00114606,0.00114606,0.00114606
8,4235.84,1.59686,1.21427,1.26054,0.81305,0.79106,0.84052,0.47471,1.37004,1.78831,1.16295,0.0010989,0.0010989,0.0010989
9,4773.27,1.57173,1.15777,1.24775,0.74587,0.80783,0.81752,0.4337,1.40839,3.0396,1.17624,0.00105174,0.00105174,0.00105174
10,5318.33,1.55758,1.14252,1.24073,0.84945,0.84879,0.90059,0.50684,1.36148,2.15426,1.14626,0.00100459,0.00100459,0.00100459
11,5856.97,1.53705,1.11884,1.22579,0.81522,0.85328,0.87833,0.48442,1.34671,2.45974,1.13488,0.00095743,0.00095743,0.00095743
12,6395.3,1.51411,1.09349,1.21426,0.87515,0.87398,0.91507,0.52384,1.32621,1.48699,1.11873,0.000910273,0.000910273,0.000910273
13,6928.33,1.50438,1.06473,1.20846,0.89447,0.87614,0.91784,0.53539,1.31415,1.56622,1.11172,0.000863116,0.000863116,0.000863116
14,7503.19,1.47603,1.04838,1.19551,0.88784,0.88476,0.91656,0.53967,1.32171,1.69652,1.11832,0.000815959,0.000815959,0.000815959
15,8069.9,1.46757,1.02038,1.1883,0.87826,0.87622,0.91558,0.53404,1.29034,1.90002,1.09759,0.000768802,0.000768802,0.000768802
16,8640.8,1.44399,0.99949,1.17822,0.90376,0.89029,0.92918,0.56537,1.29998,1.28251,1.10043,0.000721645,0.000721645,0.000721645
17,9213.11,1.45131,0.9967,1.18039,0.88804,0.89753,0.93421,0.56538,1.26096,1.27915,1.09219,0.000674488,0.000674488,0.000674488
18,9786.74,1.43392,0.97308,1.17415,0.86835,0.91582,0.93565,0.57598,1.26035,1.67476,1.08167,0.000627331,0.000627331,0.000627331
19,10361,1.42124,0.96114,1.16828,0.88296,0.91401,0.92824,0.57147,1.24068,1.15962,1.06871,0.000580174,0.000580174,0.000580174
20,10936.1,1.40029,0.93282,1.15696,0.87498,0.90776,0.94047,0.58148,1.21447,1.13912,1.06371,0.000533017,0.000533017,0.000533017
21,11503.5,1.33969,0.85668,1.17331,0.907,0.91325,0.93913,0.60136,1.19187,0.96653,1.05547,0.00048586,0.00048586,0.00048586
22,12070.6,1.3157,0.81285,1.16009,0.91927,0.92553,0.9433,0.59396,1.19835,0.9395,1.05519,0.000438703,0.000438703,0.000438703
23,12638.8,1.2992,0.80162,1.15117,0.89589,0.93473,0.9474,0.61128,1.18186,1.01501,1.04754,0.000391546,0.000391546,0.000391546
24,13207.9,1.28361,0.78732,1.13852,0.91012,0.9155,0.93787,0.61378,1.18788,1.00129,1.04915,0.000344389,0.000344389,0.000344389
25,13775.2,1.26028,0.76644,1.13244,0.92768,0.92734,0.95699,0.63095,1.15969,0.86509,1.03223,0.000297232,0.000297232,0.000297232
26,14340.7,1.24993,0.74905,1.12706,0.92437,0.94962,0.95442,0.6243,1.16498,0.95123,1.03223,0.000250075,0.000250075,0.000250075
27,14904.9,1.22191,0.73799,1.11541,0.91289,0.93922,0.95676,0.635,1.12321,0.96143,1.01704,0.000202918,0.000202918,0.000202918
28,15468.6,1.21688,0.73056,1.10503,0.9227,0.93968,0.95593,0.63576,1.14554,0.84233,1.01705,0.000155761,0.000155761,0.000155761
29,16032.8,1.2,0.71536,1.10063,0.9333,0.93419,0.95395,0.6396,1.11215,0.80273,1.0092,0.000108604,0.000108604,0.000108604
30,16597.6,1.1823,0.70344,1.09401,0.92729,0.94015,0.96029,0.64731,1.10868,0.78315,1.00499,6.1447e-05,6.1447e-05,6.1447e-05
