timestamp_ms,temperature_c,humidity_percent,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
141151,2.40,21.00,-0.04,-0.02,1.07,0.06,1.25,1.60
142151,2.40,21.00,-0.04,-0.02,1.07,-0.12,1.44,1.60
143151,2.40,21.00,-0.04,-0.02,1.06,0.02,1.42,1.57
144151,2.40,20.90,-0.04,-0.02,1.07,-0.11,1.39,1.54
145151,2.40,20.90,-0.04,-0.02,1.06,-0.06,1.40,1.60
146151,2.40,20.90,-0.03,-0.02,1.07,-0.06,1.36,1.57
147151,2.40,20.90,-0.04,-0.02,1.07,0.05,1.44,1.45
148151,2.40,20.90,-0.03,-0.02,1.06,0.05,1.33,1.56
149151,2.40,20.90,-0.04,-0.02,1.07,-0.02,1.22,1.51
150151,2.40,20.90,-0.04,-0.02,1.06,0.06,1.31,1.47
151151,2.40,20.90,-0.04,-0.02,1.07,0.00,1.50,1.59
152151,2.40,21.00,-0.04,-0.02,1.06,-0.05,1.39,1.60
153151,2.40,21.00,-0.04,-0.02,1.07,0.03,1.40,1.60
154151,2.40,20.90,-0.03,-0.02,1.07,-0.03,1.42,1.59
155151,2.40,20.90,-0.04,-0.03,1.07,-0.08,1.31,1.63
156151,2.40,20.90,-0.04,-0.02,1.08,-0.03,1.39,1.63
157151,2.40,20.90,-0.04,-0.03,1.07,0.06,1.31,1.56
158151,2.40,20.90,-0.04,-0.03,1.07,0.03,1.36,1.53
159151,2.40,20.90,-0.03,-0.02,1.07,0.00,1.31,1.57
160151,2.40,20.90,-0.04,-0.03,1.06,0.12,1.56,1.54
161151,2.40,20.90,-0.03,-0.02,1.07,-0.06,1.33,1.56
162151,2.40,20.90,-0.04,-0.02,1.07,0.02,1.34,1.63
163151,2.40,20.90,-0.04,-0.02,1.07,0.02,1.34,1.57
164151,2.40,20.90,-0.03,-0.03,1.07,0.00,1.34,1.66
165151,2.40,20.90,-0.04,-0.03,1.07,-0.02,1.50,1.56
166151,2.50,20.90,-0.04,-0.03,1.07,-0.08,1.18,1.53
167151,2.50,20.90,-0.04,-0.02,1.07,-0.08,1.33,1.40
168151,2.40,20.90,-0.04,-0.02,1.07,-0.12,1.53,1.54
169151,2.40,20.90,-0.04,-0.03,1.07,-0.08,1.25,1.53
170151,2.40,20.90,-0.04,-0.02,1.07,0.00,1.57,1.56
171151,2.40,20.90,-0.03,-0.03,1.07,-0.05,1.34,1.59
172151,2.40,20.80,-0.04,-0.02,1.06,-0.03,1.47,1.63
173151,2.40,20.80,-0.03,-0.02,1.07,-0.02,1.45,1.50
174151,2.40,20.80,-0.03,-0.03,1.07,-0.03,1.21,1.47
175151,2.40,20.80,-0.03,-0.02,1.07,-0.15,1.45,1.57
176151,2.40,20.80,-0.04,-0.02,1.07,-0.05,1.56,1.50
177151,2.40,20.80,-0.03,-0.02,1.07,-0.02,1.54,1.51
178151,2.40,20.90,-0.04,-0.02,1.07,-0.06,1.39,1.54
179151,2.40,20.90,-0.04,-0.03,1.07,-0.03,1.37,1.42
180151,2.40,20.80,-0.04,-0.02,1.07,-0.02,1.40,1.53
181151,2.40,20.80,-0.04,-0.02,1.07,-0.05,1.11,1.51
182151,2.50,20.80,-0.04,-0.02,1.08,0.00,1.31,1.62
183151,2.50,20.80,-0.04,-0.02,1.07,-0.09,1.66,1.48
184151,2.50,20.80,-0.04,-0.02,1.07,-0.02,1.44,1.51
185151,2.50,20.80,-0.04,-0.03,1.07,0.11,1.24,1.40
186151,2.50,20.80,-0.04,-0.02,1.06,-0.06,1.40,1.53
187151,2.50,20.80,-0.04,-0.03,1.07,-0.08,1.48,1.45
188151,2.40,20.70,-0.04,-0.02,1.07,0.02,1.42,1.65
189151,2.40,20.70,-0.04,-0.03,1.06,-0.05,1.34,1.56
190151,2.40,20.60,-0.04,-0.02,1.07,-0.08,1.42,1.56
191151,2.40,20.60,-0.04,-0.02,1.06,-0.05,1.48,1.57
192151,2.50,20.70,-0.03,-0.02,1.07,-0.03,1.39,1.69
193151,2.50,20.70,-0.04,-0.02,1.07,-0.08,1.34,1.63
194151,2.50,20.60,-0.03,-0.02,1.07,0.11,1.39,1.54
195151,2.50,20.60,-0.03,-0.03,1.07,0.05,1.10,1.47
196151,2.40,20.60,-0.04,-0.02,1.07,-0.06,1.36,1.51
197151,2.40,20.60,-0.04,-0.02,1.07,-0.05,1.54,1.69
198151,2.40,20.50,-0.03,-0.02,1.07,-0.12,1.30,1.57
199151,2.40,20.50,-0.04,-0.03,1.07,0.05,1.36,1.45
200151,2.40,20.60,-0.04,-0.02,1.06,-0.05,1.44,1.71
201151,2.40,20.60,-0.04,-0.03,1.07,-0.08,1.28,1.62
202151,2.40,20.60,-0.04,-0.02,1.07,0.05,1.56,1.47
203151,2.40,20.60,-0.04,-0.03,1.07,0.03,1.30,1.60
204151,2.40,20.50,-0.04,-0.03,1.06,-0.03,1.40,1.51
205151,2.40,20.50,-0.03,-0.02,1.07,-0.05,1.25,1.54
206151,2.40,20.50,-0.04,-0.02,1.06,-0.03,1.34,1.62
